index	case	outcome	status	exit_code	duration_ms	message
49	KHR-GL46.blend_equation_advanced.blend_all.GL_LIGHTEN_KHR_all_qualifier	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
50	KHR-GL46.blend_equation_advanced.blend_all.GL_MULTIPLY_KHR_all_qualifier	not_supported	NotSupported	0	241	GL_KHR_blend_equation_advanced
51	KHR-GL46.blend_equation_advanced.blend_all.GL_OVERLAY_KHR_all_qualifier	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
52	KHR-GL46.blend_equation_advanced.blend_all.GL_SCREEN_KHR_all_qualifier	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
53	KHR-GL46.blend_equation_advanced.blend_all.GL_SOFTLIGHT_KHR_all_qualifier	not_supported	NotSupported	0	238	GL_KHR_blend_equation_advanced
54	KHR-GL46.blend_equation_advanced.blend_specific.GL_COLORBURN_KHR	not_supported	NotSupported	0	241	GL_KHR_blend_equation_advanced
55	KHR-GL46.blend_equation_advanced.blend_specific.GL_COLORDODGE_KHR	not_supported	NotSupported	0	243	GL_KHR_blend_equation_advanced
56	KHR-GL46.blend_equation_advanced.blend_specific.GL_DARKEN_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
57	KHR-GL46.blend_equation_advanced.blend_specific.GL_DIFFERENCE_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
58	KHR-GL46.blend_equation_advanced.blend_specific.GL_EXCLUSION_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
59	KHR-GL46.blend_equation_advanced.blend_specific.GL_HARDLIGHT_KHR	not_supported	NotSupported	0	238	GL_KHR_blend_equation_advanced
60	KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_COLOR_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
61	KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_HUE_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
62	KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_LUMINOSITY_KHR	not_supported	NotSupported	0	241	GL_KHR_blend_equation_advanced
63	KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_SATURATION_KHR	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
64	KHR-GL46.blend_equation_advanced.blend_specific.GL_LIGHTEN_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
65	KHR-GL46.blend_equation_advanced.blend_specific.GL_MULTIPLY_KHR	not_supported	NotSupported	0	239	GL_KHR_blend_equation_advanced
66	KHR-GL46.blend_equation_advanced.blend_specific.GL_OVERLAY_KHR	not_supported	NotSupported	0	237	GL_KHR_blend_equation_advanced
67	KHR-GL46.blend_equation_advanced.blend_specific.GL_SCREEN_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
68	KHR-GL46.blend_equation_advanced.blend_specific.GL_SOFTLIGHT_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
69	KHR-GL46.blend_equation_advanced.coherent.enableDisable	not_supported	NotSupported	0	188	GL_KHR_blend_equation_advanced
70	KHR-GL46.blend_equation_advanced.extension_directive.extension_directive_disable	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
71	KHR-GL46.blend_equation_advanced.extension_directive.extension_directive_enable	not_supported	NotSupported	0	352	GL_KHR_blend_equation_advanced
72	KHR-GL46.blend_equation_advanced.extension_directive.extension_directive_warn	not_supported	NotSupported	0	241	GL_KHR_blend_equation_advanced
73	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_COLORBURN_KHR	not_supported	NotSupported	0	188	GL_KHR_blend_equation_advanced
74	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_COLORDODGE_KHR	not_supported	NotSupported	0	235	GL_KHR_blend_equation_advanced
75	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_DARKEN_KHR	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
76	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_DIFFERENCE_KHR	not_supported	NotSupported	0	188	GL_KHR_blend_equation_advanced
77	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_EXCLUSION_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
78	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_HARDLIGHT_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
79	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_HSL_COLOR_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
80	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_HSL_HUE_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
81	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_HSL_LUMINOSITY_KHR	not_supported	NotSupported	0	238	GL_KHR_blend_equation_advanced
82	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_HSL_SATURATION_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
83	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_LIGHTEN_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
84	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_MULTIPLY_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
85	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_OVERLAY_KHR	not_supported	NotSupported	0	185	GL_KHR_blend_equation_advanced
86	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_SCREEN_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
87	KHR-GL46.blend_equation_advanced.mismatching_qualifier.GL_SOFTLIGHT_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
88	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_COLORBURN_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
89	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_COLORDODGE_KHR	not_supported	NotSupported	0	243	GL_KHR_blend_equation_advanced
90	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_DARKEN_KHR	not_supported	NotSupported	0	183	GL_KHR_blend_equation_advanced
91	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_DIFFERENCE_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
92	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_EXCLUSION_KHR	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
93	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_HARDLIGHT_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
94	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_HSL_COLOR_KHR	not_supported	NotSupported	0	238	GL_KHR_blend_equation_advanced
95	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_HSL_HUE_KHR	not_supported	NotSupported	0	185	GL_KHR_blend_equation_advanced
96	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_HSL_LUMINOSITY_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
97	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_HSL_SATURATION_KHR	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
98	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_LIGHTEN_KHR	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
99	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_MULTIPLY_KHR	not_supported	NotSupported	0	239	GL_KHR_blend_equation_advanced
100	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_OVERLAY_KHR	not_supported	NotSupported	0	238	GL_KHR_blend_equation_advanced
101	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_SCREEN_KHR	not_supported	NotSupported	0	235	GL_KHR_blend_equation_advanced
102	KHR-GL46.blend_equation_advanced.missing_qualifier.GL_SOFTLIGHT_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
103	KHR-GL46.blend_equation_advanced.preprocessor.disable	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
104	KHR-GL46.blend_equation_advanced.preprocessor.enable	not_supported	NotSupported	0	236	GL_KHR_blend_equation_advanced
105	KHR-GL46.blend_equation_advanced.preprocessor.none	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
106	KHR-GL46.blend_equation_advanced.preprocessor.require	not_supported	NotSupported	0	239	GL_KHR_blend_equation_advanced
107	KHR-GL46.blend_equation_advanced.preprocessor.warn	not_supported	NotSupported	0	238	GL_KHR_blend_equation_advanced
108	KHR-GL46.blend_equation_advanced.test_coherency.mixedSequence	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
109	KHR-GL46.blend_equation_advanced.test_coherency.multiplySequence	not_supported	NotSupported	0	241	GL_KHR_blend_equation_advanced
110	KHR-GL46.buffer_objects.elements	pass	Pass	0	461	Pass
111	KHR-GL46.buffer_objects.gen_buffers	pass	Pass	0	241	Pass
112	KHR-GL46.buffer_objects.multi_texture	pass	Pass	0	459	Pass
113	KHR-GL46.buffer_objects.sub_data	pass	Pass	0	462	Pass
114	KHR-GL46.buffer_objects.triangles	pass	Pass	0	510	Pass
115	KHR-GL46.buffer_storage.dynamic_storage	fail	Fail	1	187	Fail
116	KHR-GL46.buffer_storage.errors	pass	Pass	0	240	Pass
117	KHR-GL46.buffer_storage.get_buffer_parameter	pass	Pass	0	243	Pass
118	KHR-GL46.buffer_storage.map_persistent_buffer_sub_data	pass	Pass	0	240	Pass
119	KHR-GL46.buffer_storage.map_persistent_dispatch	pass	Pass	0	346	Pass
120	KHR-GL46.buffer_storage.map_persistent_draw	fail	Fail	1	403	Fail
121	KHR-GL46.buffer_storage.map_persistent_flush	pass	Pass	0	352	Pass
122	KHR-GL46.buffer_storage.map_persistent_read_pixels	pass	Pass	0	239	Pass
123	KHR-GL46.buffer_storage.map_persistent_texture	fail	Fail	1	187	CompressedTexImage2D: glGetError() returned GL_INVALID_ENUM at gl4cBufferStorageTests.cpp:1349
124	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_red_image_format_GL_RED_internalFormat_GL_R32F_type_GL_FLOAT_pixelSize_1_texLevel_0	pass	Pass	0	234	Pass
125	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_red_image_format_GL_RED_internalFormat_GL_R32F_type_GL_UNSIGNED_SHORT_pixelSize_1_texLevel_0	pass	Pass	0	242	Pass
126	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_rg_image_format_GL_RG_internalFormat_GL_RG16_type_GL_UNSIGNED_SHORT_pixelSize_2_texLevel_0	pass	Pass	0	187	Pass
127	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_rg_image_format_GL_RG_internalFormat_GL_RG32F_type_GL_FLOAT_pixelSize_2_texLevel_0	pass	Pass	0	243	Pass
128	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_rgb_image_format_GL_RGB_internalFormat_GL_RGB16_type_GL_UNSIGNED_SHORT_pixelSize_3_texLevel_0	pass	Pass	0	235	Pass
129	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_rgb_image_format_GL_RGB_internalFormat_GL_RGB32F_type_GL_FLOAT_pixelSize_3_texLevel_0	pass	Pass	0	238	Pass
130	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA16_type_GL_UNSIGNED_SHORT_pixelSize_4_texLevel_0	pass	Pass	0	187	Pass
131	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_red_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA32F_type_GL_FLOAT_pixelSize_4_texLevel_0	pass	Pass	0	241	Pass
132	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rg_component_red_image_format_GL_RED_internalFormat_GL_R16_type_GL_UNSIGNED_SHORT_pixelSize_1_texLevel_0	pass	Pass	0	237	Pass
133	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rg_component_red_image_format_GL_RED_internalFormat_GL_R32F_type_GL_FLOAT_pixelSize_1_texLevel_0	pass	Pass	0	239	Pass
134	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rg_component_rgb_image_format_GL_RGB_internalFormat_GL_RGB16_type_GL_UNSIGNED_SHORT_pixelSize_3_texLevel_0	pass	Pass	0	240	Pass
135	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rg_component_rgb_image_format_GL_RGB_internalFormat_GL_RGB32F_type_GL_FLOAT_pixelSize_3_texLevel_0	pass	Pass	0	241	Pass
136	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rg_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA16_type_GL_UNSIGNED_SHORT_pixelSize_4_texLevel_0	pass	Pass	0	241	Pass
137	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rg_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA32F_type_GL_FLOAT_pixelSize_4_texLevel_0	pass	Pass	0	240	Pass
138	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rga_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA16_type_GL_UNSIGNED_SHORT_pixelSize_4_texLevel_0	pass	Pass	0	241	Pass
139	KHR-GL46.clear_tex_image.gl_clear_tex_image_clear_rga_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA32F_type_GL_FLOAT_pixelSize_4_texLevel_0	pass	Pass	0	242	Pass
